============================================================
           BRUTE-FORCE NEAR-DUPLICATE DETECTION            
============================================================

=== Parameters ===
Shingle size (k): 4
Similarity threshold: 0.7
Total comparisons: 999900
Execution time: 124.520 seconds

=== Detection Results ===
Query Document           Matched Corpus           Similarity
IELTS_005_VAR_029        IELTS_005                0.9479
IELTS_005_VAR_030        IELTS_005                0.9565
IELTS_005_VAR_031        IELTS_005                0.9755
IELTS_005_VAR_032        IELTS_005                0.9579
IELTS_005_VAR_033        IELTS_005                0.9831
IELTS_005_VAR_034        IELTS_005                0.9479
IELTS_005_VAR_035        IELTS_005                0.9593
IELTS_005_VAR_036        IELTS_005                0.9268
IELTS_005_VAR_037        IELTS_005                0.9522
IELTS_005_VAR_038        IELTS_005                0.9296
IELTS_005_VAR_039        IELTS_005                0.9522
IELTS_005_VAR_040        IELTS_005                0.9593
IELTS_005_VAR_041        IELTS_005                0.9493
IELTS_005_VAR_042        IELTS_005                0.9099
IELTS_005_VAR_043        IELTS_005                0.9522
IELTS_005_VAR_044        IELTS_005                0.9522
IELTS_005_VAR_045        IELTS_005                0.9608
IELTS_005_VAR_046        IELTS_005                0.9278
IELTS_005_VAR_047        IELTS_005                0.9536
IELTS_005_VAR_048        IELTS_005                0.9550
IELTS_005_VAR_049        IELTS_005                0.9550
IELTS_005_VAR_050        IELTS_005                0.9550
IELTS_005_VAR_051        IELTS_005                0.9289
IELTS_005_VAR_052        IELTS_005                0.9296
IELTS_005_VAR_053        IELTS_005                0.9179
IELTS_005_VAR_054        IELTS_005                0.9536
IELTS_005_VAR_055        IELTS_005                0.9536
IELTS_005_VAR_056        IELTS_005                0.9550
IELTS_005_VAR_057        IELTS_005                0.9536
IELTS_005_VAR_058        IELTS_005                0.9622
IELTS_005_VAR_059        IELTS_005                0.9522
IELTS_005_VAR_060        IELTS_005                0.9310
IELTS_005_VAR_061        IELTS_005                0.9536
IELTS_005_VAR_062        IELTS_005                0.9536
IELTS_005_VAR_063        IELTS_005                0.9550
IELTS_005_VAR_064        IELTS_005                0.9550
IELTS_005_VAR_065        IELTS_005                0.9550
IELTS_005_VAR_066        IELTS_005                0.9550
IELTS_005_VAR_067        IELTS_005                0.9095
IELTS_005_VAR_068        IELTS_005                0.9162
IELTS_005_VAR_069        IELTS_005                0.9522
IELTS_005_VAR_070        IELTS_005                0.9565
IELTS_005_VAR_071        IELTS_005                0.8951
IELTS_005_VAR_072        IELTS_005                0.8910
IELTS_005_VAR_073        IELTS_005                0.8772
IELTS_005_VAR_074        IELTS_005                0.8997
IELTS_005_VAR_075        IELTS_005                0.8927
IELTS_005_VAR_076        IELTS_005                0.8848
IELTS_005_VAR_077        IELTS_005                0.8882
IELTS_005_VAR_078        IELTS_005                0.9041
IELTS_005_VAR_079        IELTS_005                0.8793
IELTS_005_VAR_080        IELTS_005                0.8896
IELTS_005_VAR_081        IELTS_005                0.8947
IELTS_005_VAR_082        IELTS_005                0.8768
IELTS_005_VAR_083        IELTS_005                0.8976
IELTS_005_VAR_084        IELTS_005                0.8950
IELTS_005_VAR_085        IELTS_005                0.9033
IELTS_005_VAR_086        IELTS_005                0.9099
IELTS_005_VAR_087        IELTS_005                0.9077
IELTS_005_VAR_088        IELTS_005                0.9183
IELTS_005_VAR_089        IELTS_005                0.9036
IELTS_005_VAR_090        IELTS_005                0.8969
IELTS_005_VAR_091        IELTS_005                0.8824
IELTS_005_VAR_092        IELTS_005                0.8807
IELTS_005_VAR_093        IELTS_005                0.9079
IELTS_005_VAR_094        IELTS_005                0.9046
IELTS_005_VAR_095        IELTS_005                0.8919
IELTS_005_VAR_096        IELTS_005                0.8791
IELTS_005_VAR_097        IELTS_005                0.8967
IELTS_005_VAR_098        IELTS_005                0.8831
IELTS_005_VAR_099        IELTS_005                0.9143
IELTS_005_VAR_100        IELTS_005                0.9055
IELTS_006_VAR_001        IELTS_006                0.9693
IELTS_006_VAR_002        IELTS_006                0.9737
IELTS_006_VAR_003        IELTS_006                0.9773
IELTS_006_VAR_004        IELTS_006                0.9763
IELTS_006_VAR_005        IELTS_006                0.9781
IELTS_006_VAR_006        IELTS_006                0.9746
IELTS_006_VAR_007        IELTS_006                0.9746
IELTS_006_VAR_008        IELTS_006                0.9711
IELTS_006_VAR_009        IELTS_006                0.9963
IELTS_006_VAR_010        IELTS_006                0.9693
IELTS_006_VAR_011        IELTS_006                0.9817
IELTS_006_VAR_012        IELTS_006                0.9701
IELTS_006_VAR_013        IELTS_006                0.9772
IELTS_006_VAR_014        IELTS_006                0.9736
IELTS_006_VAR_015        IELTS_006                0.9835
IELTS_006_VAR_016        IELTS_006                0.9701
IELTS_006_VAR_017        IELTS_006                0.9790
IELTS_006_VAR_018        IELTS_006                0.9684
IELTS_006_VAR_019        IELTS_006                0.9719
IELTS_006_VAR_020        IELTS_006                0.9675
IELTS_006_VAR_021        IELTS_006                0.9817
IELTS_006_VAR_022        IELTS_006                0.9817
IELTS_006_VAR_023        IELTS_006                0.9853
IELTS_006_VAR_024        IELTS_006                0.9782
IELTS_006_VAR_025        IELTS_006                0.9773
IELTS_006_VAR_026        IELTS_006                0.9588
IELTS_006_VAR_027        IELTS_006                0.9817
